[2022-03-12 19:08:59,331] INFO - (_internal.py:225) -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit) 
[2022-03-12 19:11:58,430] INFO - (_internal.py:225) -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit) 
[2022-03-12 20:18:57,375] INFO - (_internal.py:225) -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit) 
[2022-03-12 20:33:44,105] INFO - (_internal.py:225) -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit) 
2022-03-12 20:42:55,298 : INFO : werkzeug :  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2022-03-12 20:44:59,897 : INFO : werkzeug :  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2022-03-12 20:56:55,957 : INFO : root : Argos server launched
2022-03-12 20:56:55,963 : INFO : root : Crazyflie server launched
2022-03-12 20:56:55,963 : INFO : root : app launched
2022-03-12 20:56:55,968 : INFO : werkzeug :  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2022-03-12 20:56:55,991 : INFO : cflib.drivers.cfusb : Looking for devices....
2022-03-12 20:56:56,008 : INFO : cflib.crtp.prrtdriver : Initialized PRRT driver.
2022-03-12 20:56:56,016 : INFO : cflib.drivers.cfusb : Looking for devices....
2022-03-12 20:56:56,018 : INFO : cflib.crtp.prrtdriver : Initialized PRRT driver.
2022-03-12 20:56:56,022 : INFO : cflib.drivers.cfusb : Looking for devices....
2022-03-12 20:56:56,023 : INFO : cflib.crtp.prrtdriver : Initialized PRRT driver.
2022-03-12 20:56:56,024 : INFO : cflib.drivers.cfusb : Looking for devices....
2022-03-12 20:56:56,025 : INFO : cflib.crtp.prrtdriver : Initialized PRRT driver.
2022-03-12 20:56:56,026 : INFO : root : getting drones.................
2022-03-12 20:56:56,026 : INFO : root : No drones found nearby. Retrying in 5 seconds.
2022-03-12 20:57:01,033 : INFO : cflib.drivers.cfusb : Looking for devices....
2022-03-12 20:57:01,034 : INFO : cflib.crtp.prrtdriver : Initialized PRRT driver.
2022-03-12 20:57:01,035 : INFO : cflib.drivers.cfusb : Looking for devices....
2022-03-12 20:57:01,037 : INFO : cflib.crtp.prrtdriver : Initialized PRRT driver.
2022-03-12 20:57:01,038 : INFO : cflib.drivers.cfusb : Looking for devices....
2022-03-12 20:57:01,039 : INFO : cflib.crtp.prrtdriver : Initialized PRRT driver.
2022-03-12 20:57:01,040 : INFO : cflib.drivers.cfusb : Looking for devices....
2022-03-12 20:57:01,042 : INFO : cflib.crtp.prrtdriver : Initialized PRRT driver.
2022-03-12 20:57:01,042 : INFO : root : getting drones.................
2022-03-12 20:57:01,042 : INFO : root : No drones found nearby. Retrying in 5 seconds.
2022-03-12 20:57:06,045 : INFO : cflib.drivers.cfusb : Looking for devices....
2022-03-12 20:57:06,046 : INFO : cflib.crtp.prrtdriver : Initialized PRRT driver.
2022-03-12 20:57:06,048 : INFO : cflib.drivers.cfusb : Looking for devices....
2022-03-12 20:57:06,049 : INFO : cflib.crtp.prrtdriver : Initialized PRRT driver.
2022-03-12 20:57:06,050 : INFO : cflib.drivers.cfusb : Looking for devices....
2022-03-12 20:57:06,052 : INFO : cflib.crtp.prrtdriver : Initialized PRRT driver.
2022-03-12 20:57:06,054 : INFO : cflib.drivers.cfusb : Looking for devices....
2022-03-12 20:57:06,055 : INFO : cflib.crtp.prrtdriver : Initialized PRRT driver.
2022-03-12 20:57:06,055 : INFO : root : getting drones.................
2022-03-12 20:57:06,055 : INFO : root : No drones found nearby. Retrying in 5 seconds.
2022-03-12 20:57:11,060 : INFO : cflib.drivers.cfusb : Looking for devices....
2022-03-12 20:57:11,061 : INFO : cflib.crtp.prrtdriver : Initialized PRRT driver.
2022-03-12 20:57:11,061 : INFO : cflib.drivers.cfusb : Looking for devices....
2022-03-12 20:57:11,062 : INFO : cflib.crtp.prrtdriver : Initialized PRRT driver.
2022-03-12 20:57:11,063 : INFO : cflib.drivers.cfusb : Looking for devices....
2022-03-12 20:57:11,063 : INFO : cflib.crtp.prrtdriver : Initialized PRRT driver.
2022-03-12 20:57:11,064 : INFO : cflib.drivers.cfusb : Looking for devices....
2022-03-12 20:57:11,064 : INFO : cflib.crtp.prrtdriver : Initialized PRRT driver.
2022-03-12 20:57:11,065 : INFO : root : getting drones.................
2022-03-12 20:57:11,065 : INFO : root : No drones found nearby. Retrying in 5 seconds.
2022-03-12 20:57:16,068 : INFO : cflib.drivers.cfusb : Looking for devices....
2022-03-12 20:57:16,069 : INFO : cflib.crtp.prrtdriver : Initialized PRRT driver.
2022-03-12 20:57:16,070 : INFO : cflib.drivers.cfusb : Looking for devices....
2022-03-12 20:57:16,072 : INFO : cflib.crtp.prrtdriver : Initialized PRRT driver.
2022-03-12 20:57:16,073 : INFO : cflib.drivers.cfusb : Looking for devices....
2022-03-12 20:57:16,074 : INFO : cflib.crtp.prrtdriver : Initialized PRRT driver.
2022-03-12 20:57:16,076 : INFO : cflib.drivers.cfusb : Looking for devices....
2022-03-12 20:57:16,077 : INFO : cflib.crtp.prrtdriver : Initialized PRRT driver.
2022-03-12 20:57:16,077 : INFO : root : getting drones.................
2022-03-12 20:57:16,077 : INFO : root : No drones found nearby. Retrying in 5 seconds.
2022-03-12 20:57:21,080 : INFO : cflib.drivers.cfusb : Looking for devices....
2022-03-12 20:57:21,080 : INFO : cflib.crtp.prrtdriver : Initialized PRRT driver.
2022-03-12 20:57:21,082 : INFO : cflib.drivers.cfusb : Looking for devices....
2022-03-12 20:57:21,082 : INFO : cflib.crtp.prrtdriver : Initialized PRRT driver.
2022-03-12 20:57:21,083 : INFO : cflib.drivers.cfusb : Looking for devices....
2022-03-12 20:57:21,084 : INFO : cflib.crtp.prrtdriver : Initialized PRRT driver.
2022-03-12 20:57:21,085 : INFO : cflib.drivers.cfusb : Looking for devices....
2022-03-12 20:57:21,085 : INFO : cflib.crtp.prrtdriver : Initialized PRRT driver.
2022-03-12 20:57:21,085 : INFO : root : getting drones.................
2022-03-12 20:57:21,085 : INFO : root : No drones found nearby. Retrying in 5 seconds.
2022-03-12 20:57:26,088 : INFO : cflib.drivers.cfusb : Looking for devices....
2022-03-12 20:57:26,088 : INFO : cflib.crtp.prrtdriver : Initialized PRRT driver.
2022-03-12 20:57:26,089 : INFO : cflib.drivers.cfusb : Looking for devices....
2022-03-12 20:57:26,089 : INFO : cflib.crtp.prrtdriver : Initialized PRRT driver.
2022-03-12 20:57:26,089 : INFO : cflib.drivers.cfusb : Looking for devices....
2022-03-12 20:57:26,090 : INFO : cflib.crtp.prrtdriver : Initialized PRRT driver.
2022-03-12 20:57:26,090 : INFO : cflib.drivers.cfusb : Looking for devices....
2022-03-12 20:57:26,091 : INFO : cflib.crtp.prrtdriver : Initialized PRRT driver.
2022-03-12 20:57:26,091 : INFO : root : getting drones.................
2022-03-12 20:57:26,091 : INFO : root : No drones found nearby. Retrying in 5 seconds.
[2022-03-12 21:04:54,554] INFO - (main.py:114) - Argos server launched 
[2022-03-12 21:04:54,566] INFO - (main.py:119) - Crazyflie server launched 
[2022-03-12 21:04:54,570] INFO - (main.py:122) - app launched 
